Name,Signature,GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Time,DeviceArraySize,IntegerValue
spmv2,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.091776,[1;1001;6000;6000;1000;1000;],[1000;]
dot_product,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.068352,[1000;1000;1;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.091488,[1000;1000;1000;],[1000;]
vector_norm,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.03216,[1000;1;],[1000;]
dot_product,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.070912,[1000;1000;1;],[1000;]
spmv2,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.090528,[1;1001;6000;6000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.033824,[1000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.036288,[1000;1000;1000;],[1000;]
vector_norm,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.029792,[1000;1;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.089696,[1000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.033376,[1000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.038976,[1000;1000;1000;],[1000;]
vector_norm,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.021248,[1000;1;],[1000;]
spmv_full,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;class java.lang.Integer;class com.nvidia.grcuda.runtime.array.DeviceArray;],32,1,1,32,1,1,0.17888,[1;1001;6000;6000;1000;1000;1000;],[1000;-1;]
cpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.02688,[1000;1000;],[1000;]
spmv2,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.024352,[1;1001;6000;6000;1000;1000;],[1000;]
dot_product,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.071232,[1000;1000;1;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.097984,[1000;1000;1000;],[1000;]
vector_norm,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.02144,[1000;1;],[1000;]
spmv2,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.11824,[1;1001;6000;6000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.031424,[1000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.049664,[1000;1000;1000;],[1000;]
dot_product,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.081472,[1000;1000;1;],[1000;]
vector_norm,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.02144,[1000;1;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.100192,[1000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.0368,[1000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.047296,[1000;1000;1000;],[1000;]
dot_product,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.5888,[1000;1000;1;],[1000;]
spmv2,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.098272,[1;1001;6000;6000;1000;1000;],[1000;]
vector_norm,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.031488,[1000;1;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.100512,[1000;1000;1000;],[1000;]
dot_product,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.075296,[1000;1000;1;],[1000;]
spmv2,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.10912,[1;1001;6000;6000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.041728,[1000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.048,[1000;1000;1000;],[1000;]
vector_norm,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],32,1,1,32,1,1,0.032384,[1000;1;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.09552,[1000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.043552,[1000;1000;1000;],[1000;]
saxpy,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Double;class java.lang.Integer;],32,1,1,32,1,1,0.024768,[1000;1000;1000;],[1000;]
